Beach,2011,2012
Bennetts Pier,35282,21814
Big Stone,359350,83500
Broadkill,45705,13290
Cape Henlopen,49005,30150
Fortescue,68978,125190
Fowler,8700,4620
Gandys,18780,88926
Higbees,13622,1205
Highs,24936,29800
Kimbles,17620,53640
Kitts Hummock,117360,68400
Norburys Landing,102425,74552
North Bowers,59566,36790
North Cape May,32610,4350
Pickering,137250,110550
Pierces Point,38003,43435
Primehook,101300,20580
Reeds,62179,81503
Slaughter,203070,53940
South Bowers,135309,87055
South CSL,150656,112266
Ted Harvey,115090,90670
Townbank,44022,21942
Villas,56260,32140
Woodland,125,1260
,,
